0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
-4.9312105686413545,-8.12095962179871,0.0010619524483800238,4.241100724991906,21.933772482704658,Ferrari,F430,Scuderia,Coupe,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Red,Black,No,Dubai,Dealer,1299
-4.839811836633551,-8.202744518549197,291.59147352307224,5.318500040078722,-8.120918286915622,Mercedes-Maybach,GLS-Class,GLS 600,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Black,Black,No,Dubai,Owner,999000
-4.902734600073495,-8.237563892219885,0.0002705140686256539,2.1227678231832745,-21.002738096202457,Ferrari,296 GTS,Other,Sports Car,Hybrid,Automatic Transmission,,800 - 899 HP,Red,Black,Yes,Dubai,Dealership/Certified Pre-Owned,1659
-4.747866950144212,-8.24672125656515,39.15425208584706,,-10.247471365648575,Mercedes-Benz,GLB,Other,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Black,Yes,Sharjah,Dealer,136000
-4.840524913261156,-7.657059007425777,398.0346313586721,0.9418035496062498,1.6265124801041724,Kia,Sportage,EX TOP,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,White,Unknown,No,Dubai,Owner,60000
-4.937879265318078,-8.112892577988474,0.002532473747090873,29.256355726379866,,Rolls-Royce,Dawn,Other,Soft Top Convertible,Petrol,Automatic Transmission,,500 - 599 HP,Grey,Unknown,Yes,Dubai,Dealer,2700
-5.090137788392476,-8.240705699884122,,5.424325671433846,-2.871871471754561,Mercedes-Benz,G-Class,Other,SUV,Petrol,Automatic Transmission,,500 - 599 HP,Black,Other Color,Does not apply,Dubai,Dealer,1500
-4.821671432525407,-8.189990519913016,0.3032555725798305,1.332665082293302,-17.401344490001122,Fiat,Fiat-500,Standard,Hatchback,Petrol,Automatic Transmission,1000 - 1499 cc,100 - 199 HP,Green,Beige,No,Dubai,Dealer,57900
-4.685590082960579,,0.9188575956534286,1.0948036078571177,2.6708103297347754,Mercedes-Benz,V-Class,V 250,Van,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Grey,Other Color,No,Abu Dhabi,Owner,110000
-4.847801708666439,-7.916387978875215,0.0019934871289506743,,5.671362070978771,BMW,2-Series,220i,Coupe,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Orange,Black,No,Dubai,Dealer,68000
-4.611754920093505,-7.614234137529128,2.9149032094626204,2.0714682062681966,13.223112604544802,Nissan,Pathfinder,SV,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Black,Beige,No,Abu Dhabi,Owner,33000
-4.80233828245875,-7.932906959874847,15.02230896489233,0.9105789940939322,-2.9635632602242294,Mercedes-Benz,GLA,200,Crossover,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,White,Black,Does not apply,Dubai,Owner,89000
-4.6211238383820605,-7.544177375252888,155.80129893556062,3.470261910323874,28.468410139915804,Mitsubishi,Pajero,GLS 5 Door,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,Grey,Beige,Does not apply,Dubai,Owner,19000
-4.744700862789633,-7.896543389131808,12.452790063526251,,-0.8546308063836157,BMW,X5,Xdrive 40i,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,Black,Tan,Yes,Dubai,Dealer,212000
-4.628271417843845,-8.14129166010488,,3.2519195164900214,-14.995174714872075,Nissan,Patrol,Super Safari,SUV,Petrol,Automatic Transmission,4000+ cc,Unknown,Gold,Unknown,Yes,Ras Al Khaimah,Owner,230000
,-7.992332992985182,0.7387273487595155,1.0448696534215631,-6.255019263522886,Nissan,Altima,S,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,White,Beige,Yes,Sharjah,Dealer,46499
-4.74069351182504,-7.911407134773676,3.8745949277590013,,,Mitsubishi,ASX,GLX Medium Line,Crossover,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Red,Beige,Yes,Ajman,Dealer,55000
-4.718196611487279,-7.447806882264366,2.272318379991232,4.089674501931937,26.943745176213834,Land Rover,Range Rover Sport,Supercharged,Sedan,Petrol,Automatic Transmission,Unknown,Unknown,White,Unknown,No,Abu Dhabi,Owner,16000
-5.0735140890994,-7.64316172502429,45.4196598825246,2.029679610258143,16.074196782955585,Nissan,Pathfinder,SV,SUV,Petrol,Automatic Transmission,,200 - 299 HP,Silver,Beige,Does not apply,Sharjah,Dealership/Certified Pre-Owned,49900
-4.747303183626568,-7.889198780106918,0.5323808557362056,1.789111747345495,-3.691469098906985,Land Rover,Range Rover Sport,HSE,SUV,Diesel,Automatic Transmission,3000 - 3499 cc,200 - 299 HP,Black,Black,No,Sharjah,Dealer,170000
